,Name + autors,Fields,Date,Abstract,Citations,PDF link
0,TensorFlow%3A A system for large scale machine Abadi Barham/46200b99c40e8586c8a0f588488ab6414119fb28,Computer Science,27 May 2016,TensorFlow is a machine learning system that operates at large scale and in heterogeneous environments.,8989,https://arxiv.org/pdf/1605.08695.pdf
1,TensorFlow%3A Large Scale Machine Learning on Systems Abadi Agarwal/9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,Computer Science,14 March 2016,"This paper describes the TensorFlow interface for expressing machine learning algorithms, and an implementation of that interface that we have built at Google.",8114,https://arxiv.org/pdf/1603.04467.pdf
2,Data Mining Practical Machine Learning Tools and %E0%B8%AA%E0%B8%B7%E0%B8%9A%E0%B8%AA%E0%B8%B4%E0%B8%87%E0%B8%AB%E0%B9%8C/b42b1bfdc262bf99e9484e2e9df94df216b96374,Computer Science,2014,   ,9893,https://doi.org/10.1016/c2009-0-19715-5
3,Machine learning a probabilistic perspective Murphy/25badc676197a70aaf9911865eb03469e402ba57,Computer Science,24 August 2012,"A comprehensive and self-contained introduction to the field of machine learning , based on a unified probabilistic approach.",5925,
4,Scikit learn%3A Machine Learning in Python Pedregosa Varoquaux/168f28ac3c8c7ea63bf7ed25f2288e8b67e2fe74,Computer Science,1 February 2011,"Scikit-learn is a Python module integrating a wide range of state-of-the-art machine learning algorithms for medium-scale supervised and unsupervised problems, while maintaining an easy-to-use interface tightly integrated with the Python language.",30040,https://arxiv.org/pdf/1201.0490.pdf
5,Fashion MNIST%3A a Novel Image Dataset for Machine Xiao Rasul/f9c602cc436a9ea2f9e7db48c77d924e09ce3c32,"Computer Science, Mathematics",25 August 2017,"We present Fashion-MNIST, a new dataset comprising of 28x28 grayscale images of 70,000 fashion products from 10 categories, with 7,000 images per category.   ",2289,https://arxiv.org/pdf/1708.07747.pdf
6,Neural Machine Translation by Jointly Learning to Bahdanau Cho/fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5,"Computer Science, Mathematics",1 September 2014,Neural machine machine translation is a recently proposed approach to,14704,https://arxiv.org/pdf/1409.0473.pdf
7,Gaussian Processes for Machine Learning Rasmussen Williams/82266f6103bade9005ec555ed06ba20b5210ff22,Computer Science,2 February 2003,"Gaussian processes (GPs) provide a principled, practical, probabilistic approach to learning machine in kernel",13823,https://doi.org/10.1007/978-3-540-28650-9_4
8,Convolutional LSTM Network%3A A Machine Learning for Shi Chen/f9c990b1b5724e50e5632b94fdb7484ece8a6ce7,Computer Science,13 June 2015,We propose the convolutional LSTM (ConvLSTM) and use it to build an end-to-end trainable model for the precipitation nowcasting problem.   ,2581,https://arxiv.org/pdf/1506.04214.pdf
9,Learning Phrase Representations using RNN for Cho Merrienboer/0b544dfe355a5070b60986319a3f51fb45d1348e,"Computer Science, Mathematics",3 June 2014,"In this paper, we propose a novel neural network model called RNN Encoder‐ Decoder that consists of two recurrent neural networks (RNN).   ",10957,https://www.aclweb.org/anthology/D14-1179.pdf
10,Practical Bayesian Optimization of Machine Learning Snoek Larochelle/2e2089ae76fe914706e6fa90081a79c8fe01611e,"Computer Science, Mathematics",13 June 2012,"We show that certain choices for the nature of the GP, such as the type of kernel and the treatment of its hyperparameters, can play a crucial role in obtaining a good optimizer.   ",3668,https://arxiv.org/pdf/1206.2944.pdf
11,C4.5%3A Programs for Machine Learning Quinlan/807c1f19047f96083e13614f7ce20f2ac98c239a,Computer Science,15 October 1992,   ,20990,
