Name,Review,Price($)
Certified Refurbished Kindle - Now with a Built-in Front Light - Black - Ad-Supported,4.6,79.99
Amazon.com eGift Card,4.9,1.00
Kindle Paperwhite – Now Waterproof with 2x the Storage - 8 GB (International Version),4.5,149.99
"Kindle Essentials Bundle including Kindle, now with a built-in front light, Amazon Printed Cover, and Power Adapter",4.7,119.97
Kindle - Now with a Built-in Front Light - White,4.6,
Kindle Paperwhite – Now Waterproof with 2x the Storage,4.6,
"All-new Kindle Oasis - Now with adjustable warm light - 8 GB, Graphite (International Version)",4.4,269.99
Kindle Kids Edition Essentials Bundle including Screen Protector and Power Adapter,4.7,92.97
"Kindle Oasis Essentials Bundle including Kindle Oasis (Graphite, Ad-Supported), Amazon Leather Cover, and Power Adapter",4.7,319.97
"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite - Wifi, Ad-Supported, Amazon Leather Cover, and Power Adapter",4.8,169.97
"Case for All-New Amazon Kindle 10th Generation 2019 Release, Slim Auto Wake/Sleep Protective Smart Cover Case with a Sticker (Deer Head), (No Fit Kindle Paperwhite or Kindle Oasis), Galaxy Pug Dog",,18.98
"Kindle Paperwhite Bundle including Kindle Paperwhite - Wifi, Ad-Supported, Amazon exclusive The Ballad of Songbirds and Snakes Cover, and Power Adapter",4.7,159.97
"Certified Refurbished Kindle Paperwhite Bundle including Kindle Paperwhite - Wifi, Amazon exclusive The Ballad of Songbirds and Snakes Cover, and Power Adapter",4.6,189.97
Amazon.com Gift Card in a Black Gift Box (Kindle Card Design),4.8,50.00
"Kindle Fire HD 10 Manual: The Complete User Guide with Instructions, Tutorial to Unlock the True Potential of Your Kindle HD10 Fire Tablet in 30 Minutes",3.4,0.00
"VANKYO MatrixPad S8 Tablet 8 inch, Android 9.0 Pie, 2 GB RAM, 32 GB Storage, IPS HD Display, Quad-Core Processor, Dual Camera, GPS, FM, Wi-Fi, Black",4.4,86.99
kindle 3 e-ink ebook reader,,
"Fire 7 tablet (7"" display, 16 GB) - Plum",4.4,
"Fire HD 10 Tablet (64 GB, Plum, With Special Offers) + Amazon Standing Case (Plum) + 15W USB-C Charger",4.8,245.97
"Fire HD 10 Tablet (64 GB, Black, With Special Offers) + Amazon Standing Case (Charcoal Black) + 15W USB-C Charger",4.8,245.97
Kindle Oasis – Now with adjustable warm light – Ad-Supported,4.6,
"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite - Wifi, Ad-Supported, Amazon Leather Cover, and Power Adapter",4.8,199.97
"AVAZI Bluetooth 5.0 Wireless Earbuds, Sport IPX7 Waterproof Sport Earphones, Richer Bass HiFi Stereo in-Ear Earphones, Kindle, 12 hrs, Running Bluetooth Headphones W/CVC6.0 Noise Cancelling Mic",4.3,35.45
"Kindle Fire Fast Charger, 5V 2.4A 24W Charger for Amazon Kindle Fire HD, HDX 6"" 7"" 8.9"" 9.7"", Fire 7 8, Dual Port USB Wall Charger with 6.6FT Micro USB Cable for Samsung, Galaxy S7, Android Phone",4.5,13.99
"All-new Kindle Paperwhite Premium Leather Cover (10th Generation-2018), Rustic",4.5,59.99
"Kindle Paperwhite Water-Safe Fabric Cover (10th Generation-2018), Charcoal Black",4.7,29.99
"Fire HD 8 Plus tablet, HD display, 64 GB, our best 8"" tablet for portable entertainment, Slate, without Special Offers + Made for Amazon, Wireless Charging Dock",4.5,184.99
NEW Microsoft Surface Duo 256GB (Unlocked) - Glacier,4.3,"1,097.00"
"Likebook Mars E-Reader, 7.8' Carta Touch Screen,300PPI, 8Core Processor，Adjustable Built-in Warm/Cold Light, Built-in Audible, Support Google Play Store, Android 8.1",3.6,219.00
"Kindle Fire Fast Charger, 5V 2.4A 24W Charger for Amazon Kindle Fire HD, HDX 6"" 7"" 8.9"" 9.7"", Fire 7 8, Dual Port USB Wall Charger with 6.6FT Micro USB Cable for Samsung, Galaxy S7, Android Phone",4.5,13.99
